Log: /scratch2/09796/shuyuanfan4814/carbon/out/frontera-scaling.7953063.20260924T082552Z.vBdJPu
Slurm job: 7953063
Host: c209-003.frontera.tacc.utexas.edu
ASSUMED scaling profile: medium/e050; efficiency32/4=50%; T16=22.6h; seed=11; rho=1.0
Fixed source: /scratch2/09796/shuyuanfan4814/carbon/results/scaling-v2-medium-e050-frontera-c84-fixed-max48
PPO output: /scratch2/09796/shuyuanfan4814/carbon/results/scaling-v2-medium-e050-frontera-c84-max48-weighted-seed11
Fixed requests 48h; dynamic requests rounded planned duration. All returned curves must disclose both rules.
weighted train 37/64: episodes=2960, chunks=3970, optimizer_steps=20
weighted train 38/64: episodes=3040, chunks=4080, optimizer_steps=20
weighted train 39/64: episodes=3120, chunks=4190, optimizer_steps=20
weighted train 40/64: episodes=3200, chunks=4299, optimizer_steps=20
weighted train 41/64: episodes=3280, chunks=4410, optimizer_steps=20
weighted train 42/64: episodes=3360, chunks=4521, optimizer_steps=20
weighted train 43/64: episodes=3440, chunks=4633, optimizer_steps=20
weighted train 44/64: episodes=3520, chunks=4744, optimizer_steps=20
weighted train 45/64: episodes=3600, chunks=4853, optimizer_steps=20
weighted train 46/64: episodes=3680, chunks=4962, optimizer_steps=20
weighted train 47/64: episodes=3760, chunks=5072, optimizer_steps=20
weighted train 48/64: episodes=3840, chunks=5183, optimizer_steps=20
weighted train 49/64: episodes=3920, chunks=5290, optimizer_steps=20
weighted train 50/64: episodes=4000, chunks=5394, optimizer_steps=20
weighted train 51/64: episodes=4080, chunks=5496, optimizer_steps=20
weighted train 52/64: episodes=4160, chunks=5602, optimizer_steps=20
weighted train 53/64: episodes=4240, chunks=5714, optimizer_steps=20
weighted train 54/64: episodes=4320, chunks=5825, optimizer_steps=20
weighted train 55/64: episodes=4400, chunks=5935, optimizer_steps=20
weighted train 56/64: episodes=4480, chunks=6046, optimizer_steps=20
weighted train 57/64: episodes=4560, chunks=6156, optimizer_steps=20
weighted train 58/64: episodes=4640, chunks=6266, optimizer_steps=20
weighted train 59/64: episodes=4720, chunks=6376, optimizer_steps=20
weighted train 60/64: episodes=4800, chunks=6486, optimizer_steps=20
weighted train 61/64: episodes=4880, chunks=6595, optimizer_steps=20
weighted train 62/64: episodes=4960, chunks=6704, optimizer_steps=20
weighted train 63/64: episodes=5040, chunks=6811, optimizer_steps=20
weighted train 64/64: episodes=5120, chunks=6918, optimizer_steps=20
weighted validation 16: frontera-validation-0000 alpha=0.0: completed
weighted validation 16: frontera-validation-0000 alpha=0.2: completed
weighted validation 16: frontera-validation-0000 alpha=0.5: completed
weighted validation 16: frontera-validation-0000 alpha=0.8: completed
weighted validation 16: frontera-validation-0000 alpha=1.0: completed
weighted validation 16: frontera-validation-0001 alpha=0.0: completed
weighted validation 16: frontera-validation-0001 alpha=0.2: completed
weighted validation 16: frontera-validation-0001 alpha=0.5: completed
weighted validation 16: frontera-validation-0001 alpha=0.8: completed
weighted validation 16: frontera-validation-0001 alpha=1.0: completed
weighted validation 16: frontera-validation-0002 alpha=0.0: completed
weighted validation 16: frontera-validation-0002 alpha=0.2: completed
weighted validation 16: frontera-validation-0002 alpha=0.5: completed
weighted validation 16: frontera-validation-0002 alpha=0.8: completed
weighted validation 16: frontera-validation-0002 alpha=1.0: completed
weighted validation 16: frontera-validation-0003 alpha=0.0: completed
weighted validation 16: frontera-validation-0003 alpha=0.2: completed
